dataset,classifier,seed,specAP,interceptAP,interactionAP,d_intercept,d_interaction
SmellyCode++,LogReg,42,0.1754,0.1562,0.174,0.0192,0.0014
SmellyCode++,LogReg,1,0.1752,0.1561,0.1746,0.019,0.0005
SmellyCode++,LogReg,7,0.1754,0.1564,0.1742,0.0191,0.0012
SmellyCode++,LogReg,13,0.1754,0.1562,0.175,0.0192,0.0004
SmellyCode++,LogReg,99,0.175,0.1557,0.1747,0.0193,0.0004
SmellyCode++,LinearSVC,42,0.1719,0.1555,0.1718,0.0164,0.0002
SmellyCode++,LinearSVC,1,0.172,0.1551,0.1715,0.0169,0.0005
SmellyCode++,LinearSVC,7,0.1718,0.1552,0.1717,0.0166,0.0001
SmellyCode++,LinearSVC,13,0.1725,0.1555,0.1716,0.017,0.0009
SmellyCode++,LinearSVC,99,0.1721,0.155,0.1716,0.0171,0.0005
SmellyCode++,RF,42,0.3393,0.3494,0.3408,-0.01,-0.0015
SmellyCode++,RF,1,0.3407,0.3498,0.3418,-0.0091,-0.0011
SmellyCode++,RF,7,0.3387,0.3487,0.3423,-0.01,-0.0036
SmellyCode++,RF,13,0.3394,0.3492,0.3406,-0.0098,-0.0012
SmellyCode++,RF,99,0.341,0.3486,0.3411,-0.0076,-0.0001
SmellyCode++,HistGB,42,0.3212,0.311,0.3083,0.0101,0.0129
SmellyCode++,HistGB,1,0.3251,0.3107,0.3116,0.0144,0.0135
SmellyCode++,HistGB,7,0.3215,0.3088,0.3115,0.0127,0.0099
SmellyCode++,HistGB,13,0.3221,0.3096,0.3109,0.0124,0.0112
SmellyCode++,HistGB,99,0.323,0.3099,0.3083,0.0131,0.0146
ml-Codesmell,LogReg,42,0.9455,0.4455,0.9524,0.5,-0.0069
ml-Codesmell,LogReg,1,0.9456,0.4455,0.9529,0.5001,-0.0074
ml-Codesmell,LogReg,7,0.9455,0.4457,0.9526,0.4997,-0.0071
ml-Codesmell,LogReg,13,0.9455,0.4458,0.9521,0.4997,-0.0066
ml-Codesmell,LogReg,99,0.9453,0.4458,0.9523,0.4996,-0.0069
ml-Codesmell,LinearSVC,42,0.9474,0.4989,0.9513,0.4485,-0.0039
ml-Codesmell,LinearSVC,1,0.9471,0.4998,0.9512,0.4473,-0.0041
ml-Codesmell,LinearSVC,7,0.9473,0.4994,0.9511,0.4479,-0.0038
