kind,smell,optimizer,f1,selected_idx,seconds
baseline,long_method,baseline,0.2925721256452113,,89.8
baseline,god_class,baseline,0.5378230020280605,,94.1
baseline,feature_envy,baseline,0.3023163249822844,,94.3
baseline,data_class,baseline,0.22998121597914606,,112.6
opt,god_class,SA,0.529886318497491,0;1;5;7;9;12,1016.3
opt,long_method,SA,0.2925775855634976,0;1;2;3;4;5;8;9;11;12;13,1330.9
opt,feature_envy,SA,0.29847549116224925,0;2;6;8;9;10;12,1464.2
opt,god_class,GWO,0.5414956834458133,0;1;3;13,19492.7
opt,long_method,GWO,0.29321554823572804,0;10;13,30029.6
opt,god_class,WOA,0.4892218413865141,1;3;8;9,30233.2
opt,long_method,WOA,0.16553206545502117,0;13,30525.9
opt,data_class,SA,0.2222841196862655,0;1;4;5;7;8;13,1547.8
opt,feature_envy,GWO,0.3051429979914395,0;5;8;9;12;13,37449.2
opt,god_class,PSO,0.5376123371120023,0;1;2;3;5;6;7;8;9;10;13,46786.6
opt,long_method,PSO,0.29267899494591554,0;1;2;3;6;7;9;10;12;13,47127.3
opt,feature_envy,PSO,0.30308684064971103,0;2;4;5;6;9;10;13,48399.4
opt,feature_envy,WOA,0.30368030017361575,0;8;9;13,34603.5
opt,data_class,WOA,0.27194699766316643,0;1;3;4;13,26678.3
opt,data_class,GWO,0.27194699766316643,0;1;3;4;13,28725.6
opt,data_class,PSO,0.2436093311702145,0;1;2;3;4;5;6;9;10;13,41232.1
