classifier,dataset,smell,delta_f1
RandomForest,IST2021,god_class,0.032822173573334834
RandomForest,IST2021,data_class,0.03312192044725781
RandomForest,IST2021,long_method,0.08719333272324514
RandomForest,IST2021,feature_envy,0.10042267143751615
RandomForest,IST2021,long_parameter_list,0.045207752583038774
RandomForest,IST2021,switch_statements,0.059417336243201724
RandomForest,ImprovMLCQ,blob,0.21304977711706474
RandomForest,ImprovMLCQ,data_class,0.23343751982456973
RandomForest,ImprovMLCQ,feature_envy,-0.3298704195598248
RandomForest,ImprovMLCQ,long_method,-0.26296427690838065
RandomForest,SmellyCode++,god_class,-0.005132822615932342
RandomForest,SmellyCode++,long_method,-0.06111145496991641
RandomForest,SmellyCode++,feature_envy,-0.049402731938414185
RandomForest,SmellyCode++,data_class,0.02412068813908308
LinearSVC,IST2021,god_class,0.15802100419747478
LinearSVC,IST2021,data_class,0.593087901765272
LinearSVC,IST2021,long_method,0.04187631137353043
LinearSVC,IST2021,feature_envy,0.10727887477313591
LinearSVC,IST2021,long_parameter_list,0.05782104133211713
LinearSVC,IST2021,switch_statements,0.08888386419664285
LinearSVC,ImprovMLCQ,blob,0.24199206437699358
LinearSVC,ImprovMLCQ,data_class,0.1503393997027465
LinearSVC,ImprovMLCQ,feature_envy,0.09323417091758643
LinearSVC,ImprovMLCQ,long_method,0.09076558810453467
LinearSVC,SmellyCode++,god_class,0.09444408377818181
LinearSVC,SmellyCode++,long_method,0.05352820334647497
LinearSVC,SmellyCode++,feature_envy,0.06576084532793217
LinearSVC,SmellyCode++,data_class,-0.001769155777064102
HistGradientBoosting,IST2021,god_class,0.01818331502512749
HistGradientBoosting,IST2021,data_class,-0.016079535756954977
HistGradientBoosting,IST2021,long_method,0.00934615689539453
HistGradientBoosting,IST2021,feature_envy,-0.021936561009714084
HistGradientBoosting,IST2021,long_parameter_list,-0.007006134486379545
HistGradientBoosting,IST2021,switch_statements,0.04843921026720116
HistGradientBoosting,ImprovMLCQ,blob,0.22646647550504884
HistGradientBoosting,ImprovMLCQ,data_class,0.2640217645109377
HistGradientBoosting,ImprovMLCQ,feature_envy,-0.1877527258844558
HistGradientBoosting,ImprovMLCQ,long_method,-0.2059954482727175
HistGradientBoosting,SmellyCode++,god_class,0.10095246198297397
HistGradientBoosting,SmellyCode++,long_method,-0.0607793483506541
HistGradientBoosting,SmellyCode++,feature_envy,-0.04963916784140929
HistGradientBoosting,SmellyCode++,data_class,0.04620849803941504
LogisticRegression,IST2021,god_class,0.14676668097388845
LogisticRegression,IST2021,data_class,0.5644109411819965
LogisticRegression,IST2021,long_method,0.038496474069332765
LogisticRegression,IST2021,feature_envy,0.11078225662099905
LogisticRegression,IST2021,long_parameter_list,0.017768609800851543
LogisticRegression,IST2021,switch_statements,0.07199116376452735
LogisticRegression,ImprovMLCQ,blob,0.2482241756212632
LogisticRegression,ImprovMLCQ,data_class,0.15711690126669922
LogisticRegression,ImprovMLCQ,feature_envy,0.08154807039332629
LogisticRegression,ImprovMLCQ,long_method,0.09469525291318115
LogisticRegression,SmellyCode++,god_class,0.10543002559373021
LogisticRegression,SmellyCode++,long_method,0.03577402394872853
LogisticRegression,SmellyCode++,feature_envy,0.05282973649618814
LogisticRegression,SmellyCode++,data_class,-0.003978920805407918
