classifier,smell,specific_f1_mean,specific_f1_std,unified_f1_mean,unified_f1_std,delta_f1,positive_rate
RandomForest,Long method,0.29058420821029535,0.025886398572473244,0.1879619720082462,0.013960397755952253,0.10262223620204916,1.4560127935734606
RandomForest,God class,0.5359639551788076,0.014505184327813656,0.5262403012315812,0.012819924752878603,0.009723653947226407,4.028673968425163
RandomForest,Feature envy,0.30497719905479687,0.01705482200202954,0.21127842477837108,0.009997926557056286,0.09369877427642578,1.8558119642226232
RandomForest,Data class,0.23979926641631857,0.022000818781756536,0.2218401753204357,0.02073481762738675,0.017959091095882868,3.0533499451438346
HistGradientBoosting,Long method,0.16963832408114876,0.008193233838553665,0.16963832408114876,0.008193233838553665,0.0,1.4560127935734606
HistGradientBoosting,God class,0.4632216952262455,0.007699832344308778,0.4666958671583257,0.0074408232946512835,-0.003474171932080161,4.028673968425163
HistGradientBoosting,Feature envy,0.16881449342158733,0.010651049560984303,0.15737843348996736,0.008368971113394134,0.011436059931619974,1.8558119642226232
HistGradientBoosting,Data class,0.21461634043769667,0.007705306943678679,0.21885261500212017,0.006714578666232187,-0.004236274564423492,3.0533499451438346
LogisticRegression,Long method,0.06237653806662952,0.0030924523962490235,0.06237653806662952,0.0030924523962490235,0.0,1.4560127935734606
LogisticRegression,God class,0.44179398644886225,0.006555456146929137,0.483601462032092,0.014208064361309908,-0.041807475583229725,4.028673968425163
LogisticRegression,Feature envy,0.07626992020066138,0.0032894024366737296,0.07082343478960022,0.003728804043670432,0.005446485411061158,1.8558119642226232
LogisticRegression,Data class,0.10113118459316728,0.004868785452812575,0.1600649348548791,0.013245204629431547,-0.058933750261711826,3.0533499451438346
LinearSVC,Long method,0.06934143032595295,0.0057401375922710995,0.06934143032595295,0.0057401375922710995,0.0,1.4560127935734606
LinearSVC,God class,0.42921587812360895,0.007425051653435778,0.4809479119290727,0.014858450312758937,-0.05173203380546376,4.028673968425163
LinearSVC,Feature envy,0.07845894736314102,0.0039014053489122695,0.07688698889434131,0.00586718998920498,0.0015719584687997057,1.8558119642226232
LinearSVC,Data class,0.09610073974525954,0.0042815029108018475,0.15891000324514365,0.0076400740864439615,-0.06280926349988411,3.0533499451438346
