dataset,classifier,smell,positive_rate,specific_f1,chain_f1,delta_spec_chain,native_f1,delta_spec_native
SmellyCode++,RandomForest,Long method,1.4560127935734606,0.29058420821029535,0.2850288538880926,0.005555354322202721,0.1879619720082462,0.10262223620204916
SmellyCode++,RandomForest,God class,4.028673968425163,0.5359639551788076,0.5359639551788076,0.0,0.5262403012315812,0.009723653947226407
SmellyCode++,RandomForest,Feature envy,1.8558119642226232,0.30497719905479687,0.30484021870597844,0.00013698034881842736,0.21127842477837108,0.09369877427642578
SmellyCode++,RandomForest,Data class,3.0533499451438346,0.23979926641631857,0.23836685511534433,0.00143241130097424,0.2218401753204357,0.017959091095882868
SmellyCode++,HistGradientBoosting,Long method,1.4560127935734606,0.16963832408114876,0.15823634351138,0.011401980569768766,,
SmellyCode++,HistGradientBoosting,God class,4.028673968425163,0.4632216952262455,0.4632216952262455,0.0,,
SmellyCode++,HistGradientBoosting,Feature envy,1.8558119642226232,0.16881449342158733,0.17727189162588095,-0.008457398204293615,,
SmellyCode++,HistGradientBoosting,Data class,3.0533499451438346,0.21461634043769667,0.2139740100186899,0.0006423304190067702,,
SmellyCode++,LogisticRegression,Long method,1.4560127935734606,0.06237653806662952,0.07287536308678974,-0.010498825020160224,,
SmellyCode++,LogisticRegression,God class,4.028673968425163,0.44179398644886225,0.44179398644886225,0.0,,
SmellyCode++,LogisticRegression,Feature envy,1.8558119642226232,0.07626992020066138,0.08396414327620313,-0.0076942230755417534,,
SmellyCode++,LogisticRegression,Data class,3.0533499451438346,0.10113118459316728,0.10234207972711448,-0.001210895133947204,,
SmellyCode++,LinearSVC,Long method,1.4560127935734606,0.06934143032595295,0.08159273457946338,-0.012251304253510426,,
SmellyCode++,LinearSVC,God class,4.028673968425163,0.42921587812360895,0.42921587812360895,0.0,,
SmellyCode++,LinearSVC,Feature envy,1.8558119642226232,0.07845894736314102,0.09147178121325548,-0.013012833850114466,,
SmellyCode++,LinearSVC,Data class,3.0533499451438346,0.09610073974525954,0.09699166335885656,-0.0008909236135970222,,
ImprovMLCQ,RandomForest,Blob,10.282452368596633,0.5957435532543441,0.5957435532543441,0.0,0.42753334282267536,0.16821021043166878
ImprovMLCQ,RandomForest,Data Class,9.79316480094892,0.6183595001489303,0.4564494830330492,0.16191001711588104,0.46605131179084563,0.15230818835808463
ImprovMLCQ,RandomForest,Feature Envy,5.597153235970049,0.26577782323129845,0.26512205416449486,0.0006557690668035909,0.3686409203610601,-0.10286309712976166
ImprovMLCQ,RandomForest,Long Method,5.122692564311661,0.23242868816536416,0.30635005933223025,-0.07392137116686609,0.31214808713631037,-0.07971939897094621
ImprovMLCQ,HistGradientBoosting,Blob,10.282452368596633,0.5723428098789303,0.5723428098789303,0.0,,
ImprovMLCQ,HistGradientBoosting,Data Class,9.79316480094892,0.5973245308359038,0.4382901911774204,0.15903433965848335,,
ImprovMLCQ,HistGradientBoosting,Feature Envy,5.597153235970049,0.25573964109135294,0.2549606418571723,0.0007789992341806218,,
ImprovMLCQ,HistGradientBoosting,Long Method,5.122692564311661,0.2315841707019442,0.2747077055279749,-0.04312353482603071,,
ImprovMLCQ,LogisticRegression,Blob,10.282452368596633,0.44017606284031696,0.44017606284031696,0.0,,
ImprovMLCQ,LogisticRegression,Data Class,9.79316480094892,0.33190126342183524,0.24677059252438432,0.08513067089745091,,
ImprovMLCQ,LogisticRegression,Feature Envy,5.597153235970049,0.14004041698534705,0.13783284668927767,0.0022075702960693833,,
ImprovMLCQ,LogisticRegression,Long Method,5.122692564311661,0.1518805400528404,0.031576661344558235,0.12030387870828217,,
ImprovMLCQ,LinearSVC,Blob,10.282452368596633,0.43522267257900493,0.43522267257900493,0.0,,
ImprovMLCQ,LinearSVC,Data Class,9.79316480094892,0.334366510215382,0.2590519202990656,0.0753145899163164,,
ImprovMLCQ,LinearSVC,Feature Envy,5.597153235970049,0.1422504254080264,0.1400077420652727,0.0022426833427537096,,
ImprovMLCQ,LinearSVC,Long Method,5.122692564311661,0.14784979396295866,0.029986224753769775,0.11786356920918889,,
