dataset,classifier,seed,specAP,interceptAP,interactionAP,d_intercept,d_interaction
IST2021,LogReg,42,0.7869,0.6087,0.7818,0.1782,0.0051
IST2021,LogReg,1,0.787,0.6159,0.7821,0.1711,0.0049
IST2021,LogReg,7,0.7812,0.6249,0.7834,0.1563,-0.0022
IST2021,LogReg,13,0.7818,0.6168,0.7917,0.165,-0.0099
IST2021,LogReg,99,0.7873,0.6277,0.7895,0.1596,-0.0022
IST2021,LinearSVC,42,0.7846,0.6045,0.7807,0.1801,0.0038
IST2021,LinearSVC,1,0.786,0.6106,0.7786,0.1754,0.0074
IST2021,LinearSVC,7,0.7784,0.6188,0.7847,0.1596,-0.0063
IST2021,LinearSVC,13,0.7874,0.6118,0.7831,0.1755,0.0043
IST2021,LinearSVC,99,0.7836,0.6223,0.7855,0.1614,-0.0019
IST2021,RF,42,0.8507,0.8133,0.838,0.0374,0.0128
IST2021,RF,1,0.847,0.8045,0.8347,0.0425,0.0124
IST2021,RF,7,0.8399,0.8136,0.8441,0.0263,-0.0042
IST2021,RF,13,0.8515,0.8001,0.8344,0.0514,0.0171
IST2021,RF,99,0.8363,0.816,0.8462,0.0203,-0.0099
IST2021,HistGB,42,0.8399,0.8295,0.8395,0.0103,0.0004
IST2021,HistGB,1,0.8421,0.8297,0.8411,0.0124,0.001
IST2021,HistGB,7,0.8371,0.8422,0.8524,-0.0051,-0.0153
IST2021,HistGB,13,0.8499,0.8224,0.8427,0.0276,0.0073
IST2021,HistGB,99,0.8335,0.8393,0.8486,-0.0058,-0.015
ImprovMLCQ,LogReg,42,0.2069,0.1413,0.2064,0.0656,0.0005
ImprovMLCQ,LogReg,1,0.2063,0.1416,0.2075,0.0648,-0.0011
ImprovMLCQ,LogReg,7,0.2072,0.1417,0.2064,0.0655,0.0008
ImprovMLCQ,LogReg,13,0.2065,0.1415,0.2071,0.0649,-0.0006
ImprovMLCQ,LogReg,99,0.2055,0.1423,0.2063,0.0631,-0.0008
ImprovMLCQ,LinearSVC,42,0.2066,0.1393,0.2057,0.0673,0.0008
ImprovMLCQ,LinearSVC,1,0.2057,0.1397,0.2065,0.066,-0.0008
ImprovMLCQ,LinearSVC,7,0.2057,0.1396,0.2058,0.0661,-0.0001
ImprovMLCQ,LinearSVC,13,0.2047,0.1394,0.2054,0.0653,-0.0008
ImprovMLCQ,LinearSVC,99,0.2043,0.1407,0.2058,0.0636,-0.0016
ImprovMLCQ,RF,42,0.3353,0.3422,0.3415,-0.0068,-0.0062
ImprovMLCQ,RF,1,0.3401,0.3374,0.3363,0.0027,0.0038
ImprovMLCQ,RF,7,0.3365,0.3382,0.3382,-0.0017,-0.0017
ImprovMLCQ,RF,13,0.3379,0.3403,0.3411,-0.0025,-0.0032
ImprovMLCQ,RF,99,0.3408,0.3377,0.3374,0.0031,0.0034
ImprovMLCQ,HistGB,42,0.3637,0.3531,0.3622,0.0106,0.0016
ImprovMLCQ,HistGB,1,0.3697,0.3491,0.3586,0.0206,0.0111
ImprovMLCQ,HistGB,7,0.3613,0.3506,0.3632,0.0107,-0.0018
ImprovMLCQ,HistGB,13,0.37,0.3572,0.3646,0.0129,0.0054
ImprovMLCQ,HistGB,99,0.3704,0.3463,0.3599,0.0241,0.0105
Crowdsmelling,LogReg,42,0.6775,0.6512,0.6746,0.0263,0.0029
Crowdsmelling,LogReg,1,0.6737,0.6497,0.6738,0.024,-0.0002
Crowdsmelling,LogReg,7,0.6729,0.6476,0.6751,0.0253,-0.0022
Crowdsmelling,LogReg,13,0.6748,0.6455,0.6789,0.0293,-0.0041
Crowdsmelling,LogReg,99,0.6794,0.6544,0.6747,0.025,0.0047
Crowdsmelling,LinearSVC,42,0.6764,0.6561,0.6707,0.0203,0.0057
Crowdsmelling,LinearSVC,1,0.6739,0.6491,0.6707,0.0248,0.0032
Crowdsmelling,LinearSVC,7,0.6734,0.6522,0.6758,0.0212,-0.0024
Crowdsmelling,LinearSVC,13,0.6737,0.6417,0.6759,0.032,-0.0022
Crowdsmelling,LinearSVC,99,0.6804,0.6537,0.6715,0.0267,0.0089
Crowdsmelling,RF,42,0.6813,0.6762,0.6749,0.0051,0.0064
Crowdsmelling,RF,1,0.6733,0.6741,0.6727,-0.0008,0.0006
Crowdsmelling,RF,7,0.6773,0.6745,0.6733,0.0028,0.004
Crowdsmelling,RF,13,0.6749,0.6779,0.6794,-0.003,-0.0045
Crowdsmelling,RF,99,0.6757,0.6765,0.676,-0.0008,-0.0003
Crowdsmelling,HistGB,42,0.6779,0.6788,0.6772,-0.0008,0.0007
Crowdsmelling,HistGB,1,0.6739,0.6708,0.6689,0.0031,0.0051
Crowdsmelling,HistGB,7,0.6756,0.6751,0.6771,0.0005,-0.0015
Crowdsmelling,HistGB,13,0.6774,0.6802,0.679,-0.0028,-0.0016
Crowdsmelling,HistGB,99,0.6796,0.6766,0.6765,0.003,0.0031
SmellyCode++,LogReg,42,0.1822,0.1717,0.1818,0.0104,0.0004
SmellyCode++,LogReg,1,0.1841,0.1685,0.1862,0.0156,-0.0021
SmellyCode++,LogReg,7,0.1806,0.1513,0.1827,0.0293,-0.0021
SmellyCode++,LogReg,13,0.1791,0.1608,0.1808,0.0182,-0.0017
SmellyCode++,LogReg,99,0.181,0.1634,0.1856,0.0176,-0.0046
SmellyCode++,LinearSVC,42,0.203,0.1732,0.2023,0.0298,0.0007
SmellyCode++,LinearSVC,1,0.1978,0.1676,0.2008,0.0302,-0.003
SmellyCode++,LinearSVC,7,0.1779,0.1453,0.1781,0.0326,-0.0002
SmellyCode++,LinearSVC,13,0.1899,0.1564,0.1903,0.0335,-0.0004
SmellyCode++,LinearSVC,99,0.1839,0.1608,0.1855,0.0231,-0.0016
SmellyCode++,RF,42,0.3077,0.3166,0.3072,-0.0089,0.0005
SmellyCode++,RF,1,0.2834,0.3035,0.2936,-0.0201,-0.0102
SmellyCode++,RF,7,0.3013,0.3079,0.3005,-0.0065,0.0008
SmellyCode++,RF,13,0.2893,0.3055,0.2929,-0.0162,-0.0036
SmellyCode++,RF,99,0.2854,0.3007,0.2877,-0.0154,-0.0024
SmellyCode++,HistGB,42,0.3193,0.3138,0.3133,0.0055,0.0059
SmellyCode++,HistGB,1,0.3034,0.3025,0.2995,0.0009,0.0039
SmellyCode++,HistGB,7,0.3095,0.3119,0.3055,-0.0024,0.004
SmellyCode++,HistGB,13,0.2988,0.3118,0.3009,-0.0131,-0.0021
SmellyCode++,HistGB,99,0.3057,0.3092,0.3003,-0.0035,0.0054
ml-Codesmell,LogReg,42,0.9274,0.4437,0.9245,0.4836,0.0029
ml-Codesmell,LogReg,1,0.9426,0.4687,0.9485,0.4739,-0.0059
ml-Codesmell,LogReg,7,0.9537,0.4634,0.9514,0.4903,0.0023
ml-Codesmell,LogReg,13,0.9264,0.4482,0.9304,0.4782,-0.004
ml-Codesmell,LogReg,99,0.9307,0.462,0.9244,0.4686,0.0062
ml-Codesmell,LinearSVC,42,0.9193,0.4956,0.9231,0.4238,-0.0038
ml-Codesmell,LinearSVC,1,0.9557,0.4964,0.9542,0.4593,0.0014
ml-Codesmell,LinearSVC,7,0.954,0.5365,0.9566,0.4175,-0.0026
ml-Codesmell,LinearSVC,13,0.9267,0.4859,0.942,0.4408,-0.0153
ml-Codesmell,LinearSVC,99,0.9244,0.496,0.9256,0.4284,-0.0012
ml-Codesmell,RF,42,1.0,0.9962,0.9997,0.0038,0.0003
ml-Codesmell,RF,1,1.0,0.9987,0.9999,0.0013,0.0001
ml-Codesmell,RF,7,1.0,0.9997,0.9998,0.0003,0.0002
ml-Codesmell,RF,13,1.0,0.999,1.0,0.001,0.0
ml-Codesmell,RF,99,1.0,0.9989,0.9991,0.0011,0.0009
ml-Codesmell,HistGB,42,0.9993,0.9998,1.0,-0.0005,-0.0007
ml-Codesmell,HistGB,1,1.0,1.0,0.9999,-0.0,0.0001
ml-Codesmell,HistGB,7,1.0,1.0,1.0,0.0,0.0
ml-Codesmell,HistGB,13,1.0,0.9995,1.0,0.0005,-0.0
ml-Codesmell,HistGB,99,0.9999,0.9996,0.9996,0.0002,0.0002
