dataset,classifier,seed,n_tasks,d_intercept,d_interaction
digits,LogReg,42,10,0.8854,0.0017
digits,LogReg,1,10,0.8883,0.0046
digits,LogReg,7,10,0.882,-0.0036
digits,LogReg,13,10,0.8904,0.0033
digits,LogReg,99,10,0.8885,0.0044
digits,LinearSVC,42,10,0.8648,-0.0096
digits,LinearSVC,1,10,0.8652,-0.0097
digits,LinearSVC,7,10,0.8551,-0.0218
digits,LinearSVC,13,10,0.8671,-0.015
digits,LinearSVC,99,10,0.8682,-0.0086
digits,RF,42,10,0.0256,-0.0004
digits,RF,1,10,0.0294,0.0003
digits,RF,7,10,0.0272,-0.0005
digits,RF,13,10,0.0327,0.0011
digits,RF,99,10,0.0314,0.0024
digits,HistGB,42,10,0.0124,0.0046
digits,HistGB,1,10,0.0087,0.0004
digits,HistGB,7,10,0.0108,0.0013
digits,HistGB,13,10,0.0142,0.0042
digits,HistGB,99,10,0.01,0.005
segment,LogReg,42,7,0.7314,-0.0009
segment,LogReg,1,7,0.737,-0.0033
segment,LogReg,7,7,0.7267,0.0016
segment,LogReg,13,7,0.7368,0.0028
segment,LogReg,99,7,0.7262,-0.0007
segment,LinearSVC,42,7,0.7369,0.0009
segment,LinearSVC,1,7,0.7372,-0.0012
segment,LinearSVC,7,7,0.7305,0.0011
segment,LinearSVC,13,7,0.738,0.0034
segment,LinearSVC,99,7,0.727,-0.001
segment,RF,42,7,0.0018,0.0003
segment,RF,1,7,0.0017,-0.0003
segment,RF,7,7,0.0018,-0.0
segment,RF,13,7,0.0012,-0.0001
segment,RF,99,7,0.0006,-0.0011
segment,HistGB,42,7,0.0022,-0.0006
segment,HistGB,1,7,0.0036,0.0013
segment,HistGB,7,7,0.0035,0.0007
segment,HistGB,13,7,0.004,0.0004
segment,HistGB,99,7,0.0016,-0.0012
vehicle,LogReg,42,4,0.5694,-0.0005
vehicle,LogReg,1,4,0.5776,0.0029
vehicle,LogReg,7,4,0.5754,0.0084
vehicle,LogReg,13,4,0.5575,-0.0018
vehicle,LogReg,99,4,0.5542,0.0049
vehicle,LinearSVC,42,4,0.5805,-0.0009
vehicle,LinearSVC,1,4,0.5915,0.0041
vehicle,LinearSVC,7,4,0.5857,0.0075
vehicle,LinearSVC,13,4,0.5673,-0.001
vehicle,LinearSVC,99,4,0.5624,0.0035
vehicle,RF,42,4,0.1161,0.0049
vehicle,RF,1,4,0.1287,0.0146
vehicle,RF,7,4,0.1269,0.0142
vehicle,RF,13,4,0.1034,-0.0003
vehicle,RF,99,4,0.1202,0.0084
vehicle,HistGB,42,4,0.1086,0.004
vehicle,HistGB,1,4,0.0929,0.0069
vehicle,HistGB,7,4,0.0854,-0.0014
vehicle,HistGB,13,4,0.0757,-0.0046
vehicle,HistGB,99,4,0.0921,0.0043
letter,LogReg,42,26,0.4662,0.0113
letter,LogReg,1,26,0.4886,0.0165
letter,LogReg,7,26,0.4489,0.0071
letter,LogReg,13,26,0.4675,0.0036
letter,LogReg,99,26,0.4726,0.015
letter,LinearSVC,42,26,0.4613,0.0104
letter,LinearSVC,1,26,0.4827,0.0136
letter,LinearSVC,7,26,0.4453,0.0087
letter,LinearSVC,13,26,0.4627,0.0019
letter,LinearSVC,99,26,0.4657,0.0137
letter,RF,42,26,0.0494,0.0005
letter,RF,1,26,0.0506,0.0081
letter,RF,7,26,0.0596,0.0162
letter,RF,13,26,0.058,0.0004
letter,RF,99,26,0.0493,0.0025
letter,HistGB,42,26,0.1562,0.0958
letter,HistGB,1,26,0.1793,0.1089
letter,HistGB,7,26,0.1552,0.1013
letter,HistGB,13,26,0.1498,0.1014
letter,HistGB,99,26,0.1685,0.1016
