dataset,classifier,seed,specAP,interceptAP,interactionAP,d_intercept,d_interaction
vehicle,MLP16,42,0.5703,0.3218,0.8011,0.2485,-0.2308
vehicle,MLP16,1,0.4712,0.3057,0.7799,0.1655,-0.3088
vehicle,MLP16,7,0.5046,0.3049,0.8287,0.1997,-0.324
vehicle,MLP16,13,0.5463,0.2951,0.7787,0.2512,-0.2324
vehicle,MLP16,99,0.5489,0.3263,0.77,0.2226,-0.2211
vehicle,MLP100,42,0.7069,0.2733,0.8325,0.4336,-0.1256
vehicle,MLP100,1,0.6544,0.3096,0.8183,0.3448,-0.1639
vehicle,MLP100,7,0.6911,0.3213,0.8209,0.3698,-0.1297
vehicle,MLP100,13,0.6917,0.2819,0.8295,0.4099,-0.1377
vehicle,MLP100,99,0.6855,0.2838,0.8255,0.4017,-0.1401
digits,MLP16,42,0.9138,0.1301,0.9761,0.7837,-0.0623
digits,MLP16,1,0.9283,0.299,0.9714,0.6293,-0.0431
digits,MLP16,7,0.9406,0.1273,0.9719,0.8133,-0.0313
digits,MLP16,13,0.9214,0.116,0.977,0.8053,-0.0557
digits,MLP16,99,0.9475,0.1199,0.9735,0.8276,-0.0261
digits,MLP100,42,0.972,0.977,0.9812,-0.0049,-0.0092
digits,MLP100,1,0.972,0.9752,0.9797,-0.0032,-0.0077
digits,MLP100,7,0.9705,0.9765,0.9807,-0.006,-0.0102
digits,MLP100,13,0.9559,0.9794,0.9789,-0.0236,-0.023
digits,MLP100,99,0.9695,0.9825,0.9783,-0.013,-0.0089
segment,MLP16,42,0.8972,0.9673,0.9778,-0.0701,-0.0806
segment,MLP16,1,0.6452,0.9648,0.9789,-0.3197,-0.3337
segment,MLP16,7,0.8996,0.9677,0.9727,-0.0681,-0.0731
segment,MLP16,13,0.5325,0.6333,0.9774,-0.1008,-0.4449
segment,MLP16,99,0.8865,0.9614,0.9673,-0.0749,-0.0808
segment,MLP100,42,0.9387,0.9858,0.9877,-0.0471,-0.049
segment,MLP100,1,0.9421,0.9825,0.9834,-0.0404,-0.0413
segment,MLP100,7,0.9379,0.9823,0.9862,-0.0444,-0.0483
segment,MLP100,13,0.945,0.9759,0.9873,-0.0309,-0.0424
segment,MLP100,99,0.9315,0.9839,0.9863,-0.0524,-0.0549
IST2021,MLP16,42,0.5419,0.7093,0.7877,-0.1674,-0.2457
IST2021,MLP16,1,0.6981,0.7159,0.7853,-0.0177,-0.0872
IST2021,MLP16,7,0.613,0.7014,0.7944,-0.0884,-0.1814
IST2021,MLP16,13,0.6548,0.7188,0.787,-0.064,-0.1322
IST2021,MLP16,99,0.6107,0.6492,0.7896,-0.0385,-0.1789
IST2021,MLP100,42,0.7292,0.7843,0.8149,-0.0551,-0.0857
IST2021,MLP100,1,0.695,0.7578,0.8142,-0.0628,-0.1192
IST2021,MLP100,7,0.738,0.7858,0.7864,-0.0478,-0.0484
IST2021,MLP100,13,0.7147,0.7924,0.8104,-0.0777,-0.0958
IST2021,MLP100,99,0.7194,0.7522,0.8151,-0.0328,-0.0957
Crowdsmelling,MLP16,42,0.6263,0.6268,0.6562,-0.0005,-0.0299
Crowdsmelling,MLP16,1,0.613,0.6065,0.6408,0.0064,-0.0278
Crowdsmelling,MLP16,7,0.6336,0.6372,0.6465,-0.0036,-0.0129
Crowdsmelling,MLP16,13,0.6464,0.6116,0.6741,0.0348,-0.0277
Crowdsmelling,MLP16,99,0.6428,0.6354,0.6632,0.0074,-0.0204
Crowdsmelling,MLP100,42,0.6579,0.6465,0.6722,0.0114,-0.0143
Crowdsmelling,MLP100,1,0.6238,0.6502,0.6616,-0.0264,-0.0378
Crowdsmelling,MLP100,7,0.6441,0.609,0.6682,0.0351,-0.0242
Crowdsmelling,MLP100,13,0.6374,0.6552,0.6729,-0.0178,-0.0355
Crowdsmelling,MLP100,99,0.6381,0.6335,0.6727,0.0046,-0.0346
ImprovMLCQ,MLP16,42,0.1632,0.1991,0.2225,-0.036,-0.0593
ImprovMLCQ,MLP16,1,0.1733,0.166,0.2428,0.0074,-0.0695
ImprovMLCQ,MLP16,7,0.1818,0.1893,0.2047,-0.0076,-0.0229
ImprovMLCQ,MLP16,13,0.1841,0.1968,0.2287,-0.0127,-0.0446
ImprovMLCQ,MLP16,99,0.1669,0.1872,0.2447,-0.0203,-0.0778
ImprovMLCQ,MLP100,42,0.1922,0.2069,0.2593,-0.0147,-0.0671
ImprovMLCQ,MLP100,1,0.1814,0.2069,0.2323,-0.0255,-0.0509
ImprovMLCQ,MLP100,7,0.1739,0.2139,0.2397,-0.04,-0.0658
ImprovMLCQ,MLP100,13,0.1941,0.2289,0.2446,-0.0348,-0.0504
ImprovMLCQ,MLP100,99,0.1779,0.2205,0.2297,-0.0426,-0.0518
SmellyCode++,MLP16,42,0.1724,0.1945,0.1986,-0.0221,-0.0262
SmellyCode++,MLP16,1,0.1709,0.1852,0.1952,-0.0143,-0.0244
SmellyCode++,MLP16,7,0.1674,0.191,0.1746,-0.0235,-0.0072
SmellyCode++,MLP16,13,0.1646,0.1841,0.185,-0.0195,-0.0204
SmellyCode++,MLP16,99,0.1737,0.1831,0.1745,-0.0093,-0.0007
SmellyCode++,MLP100,42,0.1891,0.1987,0.1985,-0.0096,-0.0094
SmellyCode++,MLP100,1,0.1889,0.213,0.2236,-0.0241,-0.0347
SmellyCode++,MLP100,7,0.1744,0.2011,0.2191,-0.0267,-0.0447
SmellyCode++,MLP100,13,0.1747,0.1833,0.1989,-0.0086,-0.0242
SmellyCode++,MLP100,99,0.182,0.2001,0.2139,-0.0182,-0.0319
ml-Codesmell,MLP16,42,0.8836,0.9052,0.9402,-0.0216,-0.0566
ml-Codesmell,MLP16,1,0.8871,0.9324,0.9542,-0.0454,-0.0672
ml-Codesmell,MLP16,7,0.9014,0.9454,0.9705,-0.044,-0.0691
ml-Codesmell,MLP16,13,0.9161,0.9616,0.9515,-0.0455,-0.0354
ml-Codesmell,MLP16,99,0.8926,0.9158,0.9358,-0.0232,-0.0431
ml-Codesmell,MLP100,42,0.9136,0.9455,0.9483,-0.0318,-0.0347
ml-Codesmell,MLP100,1,0.9484,0.9501,0.9645,-0.0017,-0.0161
ml-Codesmell,MLP100,7,0.9582,0.9489,0.9681,0.0093,-0.0099
ml-Codesmell,MLP100,13,0.9247,0.9385,0.9569,-0.0139,-0.0323
ml-Codesmell,MLP100,99,0.9336,0.9317,0.948,0.0019,-0.0144
letter,MLP16,42,0.1533,0.0599,0.841,0.0933,-0.6877
letter,MLP16,1,0.1732,0.0598,0.8611,0.1134,-0.6879
letter,MLP16,7,0.1574,0.06,0.8492,0.0974,-0.6918
letter,MLP16,13,0.1598,0.0578,0.8168,0.102,-0.657
letter,MLP16,99,0.217,0.0577,0.8583,0.1593,-0.6414
letter,MLP100,42,0.2165,0.8155,0.8826,-0.599,-0.6661
letter,MLP100,1,0.1828,0.6735,0.8858,-0.4907,-0.703
letter,MLP100,7,0.1739,0.8118,0.8739,-0.6379,-0.6999
letter,MLP100,13,0.2082,0.7972,0.8719,-0.589,-0.6637
letter,MLP100,99,0.1394,0.8156,0.8724,-0.6762,-0.733
