dataset,classifier,rate,seed,gap_intercept
IST2021,LogReg,0.05,42,0.2046
IST2021,LogReg,0.05,1,0.2271
IST2021,LogReg,0.05,7,0.2233
IST2021,LogReg,0.05,13,0.2798
IST2021,LogReg,0.05,99,0.1296
IST2021,LogReg,0.1,42,0.2005
IST2021,LogReg,0.1,1,0.215
IST2021,LogReg,0.1,7,0.2357
IST2021,LogReg,0.1,13,0.2335
IST2021,LogReg,0.1,99,0.2029
IST2021,LogReg,0.15,42,0.204
IST2021,LogReg,0.15,1,0.2227
IST2021,LogReg,0.15,7,0.2123
IST2021,LogReg,0.15,13,0.1799
IST2021,LogReg,0.15,99,0.2204
IST2021,LogReg,0.2,42,0.1905
IST2021,LogReg,0.2,1,0.193
IST2021,LogReg,0.2,7,0.1669
IST2021,LogReg,0.2,13,0.1896
IST2021,LogReg,0.2,99,0.1652
IST2021,LogReg,0.25,42,0.1767
IST2021,LogReg,0.25,1,0.1981
IST2021,LogReg,0.25,7,0.1924
IST2021,LogReg,0.25,13,0.1915
IST2021,LogReg,0.25,99,0.1782
IST2021,LogReg,0.3,42,0.1757
IST2021,LogReg,0.3,1,0.1798
IST2021,LogReg,0.3,7,0.1869
IST2021,LogReg,0.3,13,0.1622
IST2021,LogReg,0.3,99,0.1586
IST2021,LogReg,0.35,42,0.1674
IST2021,LogReg,0.35,1,0.1709
IST2021,LogReg,0.35,7,0.1692
IST2021,LogReg,0.35,13,0.1642
IST2021,LogReg,0.35,99,0.1692
IST2021,RF,0.05,42,0.1102
IST2021,RF,0.05,1,0.1852
IST2021,RF,0.05,7,0.0981
IST2021,RF,0.05,13,0.1447
IST2021,RF,0.05,99,0.0773
IST2021,RF,0.1,42,0.0552
IST2021,RF,0.1,1,0.0778
IST2021,RF,0.1,7,0.0497
IST2021,RF,0.1,13,0.0455
IST2021,RF,0.1,99,0.0552
IST2021,RF,0.15,42,0.0511
IST2021,RF,0.15,1,0.0541
IST2021,RF,0.15,7,0.0676
IST2021,RF,0.15,13,0.0357
IST2021,RF,0.15,99,0.0548
IST2021,RF,0.2,42,0.0376
IST2021,RF,0.2,1,0.0509
IST2021,RF,0.2,7,0.0507
IST2021,RF,0.2,13,0.0545
IST2021,RF,0.2,99,0.0335
IST2021,RF,0.25,42,0.0429
IST2021,RF,0.25,1,0.0479
IST2021,RF,0.25,7,0.0374
IST2021,RF,0.25,13,0.0439
IST2021,RF,0.25,99,0.0316
IST2021,RF,0.3,42,0.0312
IST2021,RF,0.3,1,0.0348
IST2021,RF,0.3,7,0.032
IST2021,RF,0.3,13,0.0359
IST2021,RF,0.3,99,0.0251
IST2021,RF,0.35,42,0.0247
IST2021,RF,0.35,1,0.033
IST2021,RF,0.35,7,0.0315
IST2021,RF,0.35,13,0.0341
IST2021,RF,0.35,99,0.0336
ImprovMLCQ,LogReg,0.05,42,0.0528
ImprovMLCQ,LogReg,0.05,1,0.0566
ImprovMLCQ,LogReg,0.05,7,0.0576
ImprovMLCQ,LogReg,0.05,13,0.0555
ImprovMLCQ,LogReg,0.05,99,0.0535
ImprovMLCQ,LogReg,0.1,42,0.0755
ImprovMLCQ,LogReg,0.1,1,0.0742
ImprovMLCQ,LogReg,0.1,7,0.0751
ImprovMLCQ,LogReg,0.1,13,0.0713
ImprovMLCQ,LogReg,0.1,99,0.0748
ImprovMLCQ,LogReg,0.15,42,0.0929
ImprovMLCQ,LogReg,0.15,1,0.0935
ImprovMLCQ,LogReg,0.15,7,0.0954
ImprovMLCQ,LogReg,0.15,13,0.0887
ImprovMLCQ,LogReg,0.15,99,0.0917
ImprovMLCQ,LogReg,0.2,42,0.1017
ImprovMLCQ,LogReg,0.2,1,0.1153
ImprovMLCQ,LogReg,0.2,7,0.1125
ImprovMLCQ,LogReg,0.2,13,0.1107
ImprovMLCQ,LogReg,0.2,99,0.0964
ImprovMLCQ,LogReg,0.25,42,0.1159
ImprovMLCQ,LogReg,0.25,1,0.1047
ImprovMLCQ,LogReg,0.25,7,0.1081
ImprovMLCQ,LogReg,0.25,13,0.1078
ImprovMLCQ,LogReg,0.25,99,0.1086
ImprovMLCQ,LogReg,0.3,42,0.1112
ImprovMLCQ,LogReg,0.3,1,0.1045
ImprovMLCQ,LogReg,0.3,7,0.1083
ImprovMLCQ,LogReg,0.3,13,0.1145
ImprovMLCQ,LogReg,0.3,99,0.1098
ImprovMLCQ,LogReg,0.35,42,0.1105
ImprovMLCQ,LogReg,0.35,1,0.1173
ImprovMLCQ,LogReg,0.35,7,0.1268
ImprovMLCQ,LogReg,0.35,13,0.1087
ImprovMLCQ,LogReg,0.35,99,0.1103
ImprovMLCQ,RF,0.05,42,0.0001
ImprovMLCQ,RF,0.05,1,-0.0001
ImprovMLCQ,RF,0.05,7,-0.0007
ImprovMLCQ,RF,0.05,13,-0.0007
ImprovMLCQ,RF,0.05,99,0.0046
ImprovMLCQ,RF,0.1,42,-0.0035
ImprovMLCQ,RF,0.1,1,-0.001
ImprovMLCQ,RF,0.1,7,-0.0056
ImprovMLCQ,RF,0.1,13,-0.005
ImprovMLCQ,RF,0.1,99,-0.0009
ImprovMLCQ,RF,0.15,42,-0.0001
ImprovMLCQ,RF,0.15,1,0.0019
ImprovMLCQ,RF,0.15,7,0.0015
ImprovMLCQ,RF,0.15,13,0.0028
ImprovMLCQ,RF,0.15,99,0.0046
ImprovMLCQ,RF,0.2,42,0.0002
ImprovMLCQ,RF,0.2,1,0.0007
ImprovMLCQ,RF,0.2,7,0.0025
ImprovMLCQ,RF,0.2,13,0.0002
ImprovMLCQ,RF,0.2,99,-0.0006
ImprovMLCQ,RF,0.25,42,0.0029
ImprovMLCQ,RF,0.25,1,-0.0021
ImprovMLCQ,RF,0.25,7,0.0029
ImprovMLCQ,RF,0.25,13,0.0058
ImprovMLCQ,RF,0.25,99,0.003
ImprovMLCQ,RF,0.3,42,0.0012
ImprovMLCQ,RF,0.3,1,0.001
ImprovMLCQ,RF,0.3,7,-0.0052
ImprovMLCQ,RF,0.3,13,-0.0006
ImprovMLCQ,RF,0.3,99,0.0004
ImprovMLCQ,RF,0.35,42,-0.0028
ImprovMLCQ,RF,0.35,1,-0.0004
ImprovMLCQ,RF,0.35,7,-0.0014
ImprovMLCQ,RF,0.35,13,0.0023
ImprovMLCQ,RF,0.35,99,-0.0014
Crowdsmelling,LogReg,0.05,42,
Crowdsmelling,LogReg,0.05,1,
Crowdsmelling,LogReg,0.05,7,
Crowdsmelling,LogReg,0.05,13,
Crowdsmelling,LogReg,0.05,99,
Crowdsmelling,LogReg,0.1,42,
Crowdsmelling,LogReg,0.1,1,
Crowdsmelling,LogReg,0.1,7,
Crowdsmelling,LogReg,0.1,13,
Crowdsmelling,LogReg,0.1,99,
Crowdsmelling,LogReg,0.15,42,
Crowdsmelling,LogReg,0.15,1,
Crowdsmelling,LogReg,0.15,7,
Crowdsmelling,LogReg,0.15,13,
Crowdsmelling,LogReg,0.15,99,
Crowdsmelling,LogReg,0.2,42,
Crowdsmelling,LogReg,0.2,1,
Crowdsmelling,LogReg,0.2,7,
Crowdsmelling,LogReg,0.2,13,
Crowdsmelling,LogReg,0.2,99,
Crowdsmelling,LogReg,0.25,42,
Crowdsmelling,LogReg,0.25,1,
Crowdsmelling,LogReg,0.25,7,
Crowdsmelling,LogReg,0.25,13,
Crowdsmelling,LogReg,0.25,99,
Crowdsmelling,LogReg,0.3,42,
Crowdsmelling,LogReg,0.3,1,
Crowdsmelling,LogReg,0.3,7,
Crowdsmelling,LogReg,0.3,13,
Crowdsmelling,LogReg,0.3,99,
Crowdsmelling,LogReg,0.35,42,0.0505
Crowdsmelling,LogReg,0.35,1,0.0165
Crowdsmelling,LogReg,0.35,7,0.0488
Crowdsmelling,LogReg,0.35,13,0.0238
Crowdsmelling,LogReg,0.35,99,0.0169
Crowdsmelling,RF,0.05,42,
Crowdsmelling,RF,0.05,1,
Crowdsmelling,RF,0.05,7,
Crowdsmelling,RF,0.05,13,
Crowdsmelling,RF,0.05,99,
Crowdsmelling,RF,0.1,42,
Crowdsmelling,RF,0.1,1,
Crowdsmelling,RF,0.1,7,
Crowdsmelling,RF,0.1,13,
Crowdsmelling,RF,0.1,99,
Crowdsmelling,RF,0.15,42,
Crowdsmelling,RF,0.15,1,
Crowdsmelling,RF,0.15,7,
Crowdsmelling,RF,0.15,13,
Crowdsmelling,RF,0.15,99,
Crowdsmelling,RF,0.2,42,
Crowdsmelling,RF,0.2,1,
Crowdsmelling,RF,0.2,7,
Crowdsmelling,RF,0.2,13,
Crowdsmelling,RF,0.2,99,
Crowdsmelling,RF,0.25,42,
Crowdsmelling,RF,0.25,1,
Crowdsmelling,RF,0.25,7,
Crowdsmelling,RF,0.25,13,
Crowdsmelling,RF,0.25,99,
Crowdsmelling,RF,0.3,42,
Crowdsmelling,RF,0.3,1,
Crowdsmelling,RF,0.3,7,
Crowdsmelling,RF,0.3,13,
Crowdsmelling,RF,0.3,99,
Crowdsmelling,RF,0.35,42,0.0106
Crowdsmelling,RF,0.35,1,-0.0012
Crowdsmelling,RF,0.35,7,0.0008
Crowdsmelling,RF,0.35,13,-0.0005
Crowdsmelling,RF,0.35,99,0.0021
SmellyCode++,LogReg,0.05,42,0.0173
SmellyCode++,LogReg,0.05,1,0.0226
SmellyCode++,LogReg,0.05,7,0.0344
SmellyCode++,LogReg,0.05,13,0.0318
SmellyCode++,LogReg,0.05,99,0.0199
SmellyCode++,LogReg,0.1,42,0.0489
SmellyCode++,LogReg,0.1,1,0.0667
SmellyCode++,LogReg,0.1,7,0.055
SmellyCode++,LogReg,0.1,13,0.0399
SmellyCode++,LogReg,0.1,99,0.0308
SmellyCode++,LogReg,0.15,42,0.0426
SmellyCode++,LogReg,0.15,1,0.0684
SmellyCode++,LogReg,0.15,7,0.0783
SmellyCode++,LogReg,0.15,13,0.0421
SmellyCode++,LogReg,0.15,99,0.0394
SmellyCode++,LogReg,0.2,42,0.0273
SmellyCode++,LogReg,0.2,1,0.0826
SmellyCode++,LogReg,0.2,7,0.0815
SmellyCode++,LogReg,0.2,13,0.033
SmellyCode++,LogReg,0.2,99,0.0282
SmellyCode++,LogReg,0.25,42,0.1132
SmellyCode++,LogReg,0.25,1,0.0828
SmellyCode++,LogReg,0.25,7,0.1011
SmellyCode++,LogReg,0.25,13,0.0628
SmellyCode++,LogReg,0.25,99,0.0575
SmellyCode++,LogReg,0.3,42,0.0983
SmellyCode++,LogReg,0.3,1,0.0463
SmellyCode++,LogReg,0.3,7,0.1011
SmellyCode++,LogReg,0.3,13,0.1055
SmellyCode++,LogReg,0.3,99,0.0997
SmellyCode++,LogReg,0.35,42,0.0488
SmellyCode++,LogReg,0.35,1,0.0834
SmellyCode++,LogReg,0.35,7,0.0896
SmellyCode++,LogReg,0.35,13,0.0672
SmellyCode++,LogReg,0.35,99,0.0946
SmellyCode++,RF,0.05,42,-0.0189
SmellyCode++,RF,0.05,1,-0.0184
SmellyCode++,RF,0.05,7,-0.0118
SmellyCode++,RF,0.05,13,-0.0226
SmellyCode++,RF,0.05,99,-0.0222
SmellyCode++,RF,0.1,42,-0.0157
SmellyCode++,RF,0.1,1,-0.031
SmellyCode++,RF,0.1,7,-0.0193
SmellyCode++,RF,0.1,13,-0.0262
SmellyCode++,RF,0.1,99,-0.0339
SmellyCode++,RF,0.15,42,-0.0155
SmellyCode++,RF,0.15,1,-0.0234
SmellyCode++,RF,0.15,7,-0.0178
SmellyCode++,RF,0.15,13,-0.0174
SmellyCode++,RF,0.15,99,-0.0285
SmellyCode++,RF,0.2,42,-0.0185
SmellyCode++,RF,0.2,1,-0.0226
SmellyCode++,RF,0.2,7,-0.02
SmellyCode++,RF,0.2,13,-0.0244
SmellyCode++,RF,0.2,99,-0.0331
SmellyCode++,RF,0.25,42,-0.015
SmellyCode++,RF,0.25,1,-0.018
SmellyCode++,RF,0.25,7,-0.0113
SmellyCode++,RF,0.25,13,-0.0287
SmellyCode++,RF,0.25,99,-0.0331
SmellyCode++,RF,0.3,42,-0.0169
SmellyCode++,RF,0.3,1,-0.0183
SmellyCode++,RF,0.3,7,-0.0094
SmellyCode++,RF,0.3,13,-0.0211
SmellyCode++,RF,0.3,99,-0.0296
SmellyCode++,RF,0.35,42,-0.0137
SmellyCode++,RF,0.35,1,-0.012
SmellyCode++,RF,0.35,7,-0.0124
SmellyCode++,RF,0.35,13,-0.0165
SmellyCode++,RF,0.35,99,-0.0197
ml-Codesmell,LogReg,0.05,42,0.4834
ml-Codesmell,LogReg,0.05,1,0.4667
ml-Codesmell,LogReg,0.05,7,0.4413
ml-Codesmell,LogReg,0.05,13,0.4537
ml-Codesmell,LogReg,0.05,99,0.4564
ml-Codesmell,LogReg,0.1,42,0.3272
ml-Codesmell,LogReg,0.1,1,0.3125
ml-Codesmell,LogReg,0.1,7,0.3141
ml-Codesmell,LogReg,0.1,13,0.295
ml-Codesmell,LogReg,0.1,99,0.3419
ml-Codesmell,LogReg,0.15,42,0.2438
ml-Codesmell,LogReg,0.15,1,0.2421
ml-Codesmell,LogReg,0.15,7,0.2395
ml-Codesmell,LogReg,0.15,13,0.2328
ml-Codesmell,LogReg,0.15,99,0.2242
ml-Codesmell,LogReg,0.2,42,0.1764
ml-Codesmell,LogReg,0.2,1,0.2018
ml-Codesmell,LogReg,0.2,7,0.1878
ml-Codesmell,LogReg,0.2,13,0.1632
ml-Codesmell,LogReg,0.2,99,0.1744
ml-Codesmell,LogReg,0.25,42,0.1655
ml-Codesmell,LogReg,0.25,1,0.1436
ml-Codesmell,LogReg,0.25,7,0.1592
ml-Codesmell,LogReg,0.25,13,0.1403
ml-Codesmell,LogReg,0.25,99,0.1334
ml-Codesmell,LogReg,0.3,42,0.1247
ml-Codesmell,LogReg,0.3,1,0.1259
ml-Codesmell,LogReg,0.3,7,0.1315
ml-Codesmell,LogReg,0.3,13,0.1099
ml-Codesmell,LogReg,0.3,99,0.1108
ml-Codesmell,LogReg,0.35,42,0.1034
ml-Codesmell,LogReg,0.35,1,0.0961
ml-Codesmell,LogReg,0.35,7,0.0682
ml-Codesmell,LogReg,0.35,13,0.1061
ml-Codesmell,LogReg,0.35,99,0.0957
ml-Codesmell,RF,0.05,42,0.0033
ml-Codesmell,RF,0.05,1,0.0011
