dataset,classifier,seed,specAP,interceptAP,interactionAP,d_intercept,d_interaction
IST2021,LogReg,42,0.7869,0.6207,0.7876,0.1661,-0.0007
IST2021,LogReg,1,0.787,0.6147,0.7852,0.1723,0.0019
IST2021,LogReg,7,0.7812,0.6142,0.7815,0.167,-0.0003
IST2021,LogReg,13,0.7818,0.6149,0.7824,0.1669,-0.0006
IST2021,LogReg,99,0.7873,0.6214,0.7861,0.1659,0.0012
IST2021,RF,42,0.8507,0.8145,0.846,0.0363,0.0047
IST2021,RF,1,0.847,0.8128,0.8453,0.0342,0.0017
IST2021,RF,7,0.8399,0.8046,0.8363,0.0353,0.0036
IST2021,RF,13,0.8515,0.8148,0.8433,0.0367,0.0082
IST2021,RF,99,0.8363,0.8131,0.8347,0.0232,0.0016
IST2021,HistGB,42,0.8399,0.831,0.8506,0.0089,-0.0107
IST2021,HistGB,1,0.8421,0.8314,0.8469,0.0107,-0.0048
IST2021,HistGB,7,0.8371,0.8252,0.848,0.0119,-0.0108
IST2021,HistGB,13,0.8499,0.8374,0.8475,0.0125,0.0024
IST2021,HistGB,99,0.8335,0.8336,0.8463,-0.0,-0.0128
IST2021,LinearSVC,42,0.7846,0.6119,0.7851,0.1727,-0.0005
IST2021,LinearSVC,1,0.786,0.6081,0.7852,0.1779,0.0007
IST2021,LinearSVC,7,0.7784,0.6044,0.7775,0.174,0.0008
IST2021,LinearSVC,13,0.7874,0.6061,0.7879,0.1813,-0.0005
IST2021,LinearSVC,99,0.7836,0.6159,0.7832,0.1678,0.0004
ImprovMLCQ,LogReg,42,0.2069,0.1402,0.2072,0.0666,-0.0003
ImprovMLCQ,LogReg,1,0.2063,0.1409,0.2066,0.0654,-0.0002
ImprovMLCQ,LogReg,7,0.2072,0.1421,0.2068,0.0651,0.0005
ImprovMLCQ,LogReg,13,0.2065,0.1412,0.2063,0.0653,0.0001
ImprovMLCQ,LogReg,99,0.2055,0.1412,0.2052,0.0643,0.0003
ImprovMLCQ,RF,42,0.3353,0.3412,0.3413,-0.0059,-0.006
ImprovMLCQ,RF,1,0.3401,0.3435,0.3426,-0.0034,-0.0025
ImprovMLCQ,RF,7,0.3365,0.3403,0.3403,-0.0038,-0.0038
ImprovMLCQ,RF,13,0.3379,0.3411,0.3399,-0.0032,-0.0021
ImprovMLCQ,RF,99,0.3408,0.3447,0.3439,-0.0039,-0.0031
ImprovMLCQ,HistGB,42,0.3637,0.3511,0.3593,0.0126,0.0044
ImprovMLCQ,HistGB,1,0.3697,0.3544,0.3621,0.0153,0.0075
ImprovMLCQ,HistGB,7,0.3613,0.3526,0.3635,0.0087,-0.0021
ImprovMLCQ,HistGB,13,0.37,0.3568,0.3649,0.0133,0.0051
ImprovMLCQ,HistGB,99,0.3704,0.3567,0.3616,0.0137,0.0088
ImprovMLCQ,LinearSVC,42,0.2066,0.1382,0.2067,0.0684,-0.0001
ImprovMLCQ,LinearSVC,1,0.2057,0.1392,0.2054,0.0665,0.0003
ImprovMLCQ,LinearSVC,7,0.2057,0.1402,0.2059,0.0655,-0.0002
ImprovMLCQ,LinearSVC,13,0.2047,0.1387,0.2047,0.0659,-0.0
ImprovMLCQ,LinearSVC,99,0.2043,0.1392,0.2042,0.0651,0.0001
