dataset,seed,specAP,softmaxAP,interceptAP,interactionAP,d_softmax,d_intercept,d_interaction
digits,42,0.9754,0.9949,0.1568,0.9762,-0.0195,0.8186,-0.0008
digits,1,0.9758,0.9933,0.1558,0.9761,-0.0175,0.8199,-0.0003
digits,7,0.9727,0.9932,0.1583,0.9731,-0.0205,0.8144,-0.0004
digits,13,0.9723,0.9926,0.1569,0.9719,-0.0203,0.8154,0.0004
digits,99,0.9744,0.9923,0.1574,0.9736,-0.0179,0.8169,0.0008
segment,42,0.894,0.9658,0.1429,0.8942,-0.0717,0.7512,-0.0002
segment,1,0.8931,0.9678,0.1429,0.8939,-0.0747,0.7502,-0.0008
segment,7,0.8938,0.9666,0.1429,0.8931,-0.0728,0.7509,0.0007
segment,13,0.8933,0.9677,0.1429,0.8932,-0.0744,0.7504,0.0001
segment,99,0.8945,0.9695,0.1429,0.8944,-0.075,0.7516,0.0
vehicle,42,0.8061,0.8511,0.3824,0.8055,-0.0451,0.4237,0.0006
vehicle,1,0.8032,0.8483,0.3859,0.8023,-0.0451,0.4173,0.0009
vehicle,7,0.8007,0.8456,0.385,0.8008,-0.0449,0.4158,-0.0001
vehicle,13,0.8058,0.8488,0.3847,0.8062,-0.0431,0.4211,-0.0004
vehicle,99,0.8052,0.8546,0.3841,0.8053,-0.0494,0.4211,-0.0001
letter,42,0.5033,0.7845,0.0722,0.5038,-0.2812,0.4311,-0.0005
letter,1,0.528,0.7943,0.0676,0.527,-0.2663,0.4604,0.001
letter,7,0.5109,0.7805,0.0727,0.5121,-0.2696,0.4382,-0.0012
letter,13,0.5147,0.7883,0.073,0.5157,-0.2736,0.4417,-0.001
letter,99,0.5223,0.7976,0.0724,0.5233,-0.2754,0.4498,-0.0011
