dataset,classifier,seed,mean_dF1,mean_dAP,n_smells
IST2021,RF,42,0.0597,0.0374,6
IST2021,HistGB,42,0.0052,0.0103,6
IST2021,LogReg,42,0.1584,0.1782,6
IST2021,LinearSVC,42,0.1745,0.1801,6
IST2021,RF,1,0.0638,0.0425,6
IST2021,HistGB,1,0.0281,0.0124,6
IST2021,LogReg,1,0.1671,0.1711,6
IST2021,LinearSVC,1,0.1724,0.1754,6
IST2021,RF,7,0.0657,0.0263,6
IST2021,HistGB,7,-0.0032,-0.0051,6
IST2021,LogReg,7,0.1514,0.1563,6
IST2021,LinearSVC,7,0.1578,0.1596,6
IST2021,RF,13,0.0651,0.0514,6
IST2021,HistGB,13,0.0235,0.0276,6
IST2021,LogReg,13,0.1713,0.165,6
IST2021,LinearSVC,13,0.1781,0.1755,6
IST2021,RF,99,0.0598,0.0203,6
IST2021,HistGB,99,0.0054,-0.0058,6
IST2021,LogReg,99,0.1524,0.1596,6
IST2021,LinearSVC,99,0.1544,0.1614,6
ImprovMLCQ,RF,42,-0.0366,-0.0068,4
ImprovMLCQ,HistGB,42,0.0242,0.0106,4
ImprovMLCQ,LogReg,42,0.1454,0.0656,4
ImprovMLCQ,LinearSVC,42,0.1441,0.0673,4
ImprovMLCQ,RF,1,-0.0218,0.0027,4
ImprovMLCQ,HistGB,1,0.0218,0.0206,4
ImprovMLCQ,LogReg,1,0.1451,0.0648,4
ImprovMLCQ,LinearSVC,1,0.1438,0.066,4
ImprovMLCQ,RF,7,-0.0257,-0.0017,4
ImprovMLCQ,HistGB,7,0.0253,0.0107,4
ImprovMLCQ,LogReg,7,0.1451,0.0655,4
ImprovMLCQ,LinearSVC,7,0.1439,0.0661,4
ImprovMLCQ,RF,13,-0.031,-0.0025,4
ImprovMLCQ,HistGB,13,0.0193,0.0129,4
ImprovMLCQ,LogReg,13,0.1455,0.0649,4
ImprovMLCQ,LinearSVC,13,0.1433,0.0653,4
ImprovMLCQ,RF,99,-0.0271,0.0031,4
ImprovMLCQ,HistGB,99,0.0315,0.0241,4
ImprovMLCQ,LogReg,99,0.1432,0.0631,4
ImprovMLCQ,LinearSVC,99,0.1429,0.0636,4
Crowdsmelling,RF,42,-0.0335,0.0051,3
Crowdsmelling,HistGB,42,-0.026,-0.0008,3
Crowdsmelling,LogReg,42,-0.0002,0.0263,3
Crowdsmelling,LinearSVC,42,-0.0061,0.0203,3
Crowdsmelling,RF,1,-0.0249,-0.0008,3
Crowdsmelling,HistGB,1,-0.0273,0.0031,3
Crowdsmelling,LogReg,1,0.0105,0.024,3
Crowdsmelling,LinearSVC,1,0.0047,0.0248,3
Crowdsmelling,RF,7,-0.0347,0.0028,3
Crowdsmelling,HistGB,7,-0.0366,0.0005,3
Crowdsmelling,LogReg,7,-0.0153,0.0253,3
Crowdsmelling,LinearSVC,7,-0.0181,0.0212,3
Crowdsmelling,RF,13,-0.0477,-0.003,3
Crowdsmelling,HistGB,13,-0.0437,-0.0028,3
Crowdsmelling,LogReg,13,-0.0161,0.0293,3
Crowdsmelling,LinearSVC,13,-0.0156,0.032,3
Crowdsmelling,RF,99,-0.0308,-0.0008,3
Crowdsmelling,HistGB,99,-0.0356,0.003,3
Crowdsmelling,LogReg,99,-0.0066,0.025,3
Crowdsmelling,LinearSVC,99,-0.0058,0.0267,3
SmellyCode++,RF,42,-0.0154,-0.0095,4
SmellyCode++,HistGB,42,0.0088,0.0031,4
SmellyCode++,LogReg,42,0.0545,0.0171,4
SmellyCode++,LinearSVC,42,0.0558,0.0205,4
SmellyCode++,RF,1,-0.0048,-0.018,4
SmellyCode++,HistGB,1,0.0094,0.0012,4
SmellyCode++,LogReg,1,0.0548,0.0136,4
SmellyCode++,LinearSVC,1,0.0546,0.02,4
SmellyCode++,RF,7,-0.0008,-0.0142,4
SmellyCode++,HistGB,7,0.0139,0.0027,4
SmellyCode++,LogReg,7,0.0565,0.0276,4
SmellyCode++,LinearSVC,7,0.0567,0.0292,4
SmellyCode++,RF,13,0.002,-0.0074,4
SmellyCode++,HistGB,13,0.0114,0.0035,4
SmellyCode++,LogReg,13,0.0544,0.0253,4
SmellyCode++,LinearSVC,13,0.0556,0.0269,4
SmellyCode++,RF,99,0.0022,-0.0131,4
SmellyCode++,HistGB,99,0.0115,-0.0018,4
SmellyCode++,LogReg,99,0.0554,0.0151,4
SmellyCode++,LinearSVC,99,0.0576,0.0164,4
ml-Codesmell,RF,42,0.0087,0.0003,3
ml-Codesmell,HistGB,42,-0.0003,0.0002,3
ml-Codesmell,LogReg,42,0.3095,0.4949,3
ml-Codesmell,LinearSVC,42,0.4335,0.4429,3
ml-Codesmell,RF,1,0.0049,0.0002,3
ml-Codesmell,HistGB,1,0.0,-0.0001,3
ml-Codesmell,LogReg,1,0.3041,0.4928,3
ml-Codesmell,LinearSVC,1,0.4307,0.4278,3
ml-Codesmell,RF,7,0.009,0.0003,3
ml-Codesmell,HistGB,7,-0.0001,-0.0001,3
ml-Codesmell,LogReg,7,0.3082,0.4956,3
ml-Codesmell,LinearSVC,7,0.4316,0.4475,3
ml-Codesmell,RF,13,0.0037,0.0001,3
ml-Codesmell,HistGB,13,0.0011,0.0037,3
ml-Codesmell,LogReg,13,0.3022,0.4911,3
ml-Codesmell,LinearSVC,13,0.4405,0.4475,3
ml-Codesmell,RF,99,0.0031,0.0001,3
ml-Codesmell,HistGB,99,-0.0008,-0.0003,3
ml-Codesmell,LogReg,99,0.2954,0.474,3
ml-Codesmell,LinearSVC,99,0.456,0.4366,3
