sweep,classifier,rate,seed,dF1,dAP
5
IST2021_down,RF,0.33,1,0.0843,0.0431
IST2021_down,RF,0.33,7,0.0734,0.0515
IST2021_down,RF,0.33,13,0.0554,0.0224
IST2021_down,RF,0.33,99,0.0677,0.0309
IST2021_down,RF,0.2,42,0.0736,0.0576
IST2021_down,RF,0.2,1,0.0529,0.0291
IST2021_down,RF,0.2,7,0.0919,0.0552
IST2021_down,RF,0.2,13,0.0929,0.0826
IST2021_down,RF,0.2,99,0.0994,0.055
IST2021_down,RF,0.1,42,0.1645,0.0628
IST2021_down,RF,0.1,1,0.1253,0.0159
IST2021_down,RF,0.1,7,0.1273,0.0666
IST2021_down,RF,0.1,13,0.0813,0.0751
IST2021_down,RF,0.1,99,0.1727,0.0822
IST2021_down,RF,0.05,42,0.1666,0.0988
IST2021_down,RF,0.05,1,0.2556,0.1536
IST2021_down,RF,0.05,7,0.2233,0.1689
IST2021_down,RF,0.05,13,0.1917,0.1895
IST2021_down,RF,0.05,99,0.2722,0.143
IST2021_down,LogReg,0.33,42,0.181,0.1847
IST2021_down,LogReg,0.33,1,0.155,0.1656
IST2021_down,LogReg,0.33,7,0.1654,0.1717
IST2021_down,LogReg,0.33,13,0.1584,0.172
IST2021_down,LogReg,0.33,99,0.1552,0.1683
IST2021_down,LogReg,0.2,42,0.1918,0.2068
IST2021_down,LogReg,0.2,1,0.1706,0.1819
IST2021_down,LogReg,0.2,7,0.1928,0.1952
IST2021_down,LogReg,0.2,13,0.2322,0.2104
IST2021_down,LogReg,0.2,99,0.1977,0.1758
IST2021_down,LogReg,0.1,42,0.2753,0.218
IST2021_down,LogReg,0.1,1,0.2395,0.2112
IST2021_down,LogReg,0.1,7,0.2411,0.2428
IST2021_down,LogReg,0.1,13,0.2138,0.2213
IST2021_down,LogReg,0.1,99,0.2078,0.1756
IST2021_down,LogReg,0.05,42,0.2408,0.2305
IST2021_down,LogReg,0.05,1,0.2498,0.315
IST2021_down,LogReg,0.05,7,0.2702,0.2537
IST2021_down,LogReg,0.05,13,0.243,0.2662
IST2021_down,LogReg,0.05,99,0.2417,0.297
SmellyCode_up,RF,0.05,42,0.0042,-0.0061
SmellyCode_up,RF,0.05,1,0.0007,-0.0033
SmellyCode_up,RF,0.05,7,0.0124,-0.0034
SmellyCode_up,RF,0.05,13,0.0055,-0.0062
SmellyCode_up,RF,0.05,99,0.0075,-0.0077
SmellyCode_up,RF,0.1,42,0.0079,-0.0076
SmellyCode_up,RF,0.1,1,0.007,-0.0031
SmellyCode_up,RF,0.1,7,0.0187,-0.0043
SmellyCode_up,RF,0.1,13,0.0135,-0.0105
SmellyCode_up,RF,0.1,99,0.004,-0.009
SmellyCode_up,RF,0.2,42,0.0014,-0.0058
SmellyCode_up,RF,0.2,1,0.0068,-0.0108
SmellyCode_up,RF,0.2,7,0.0039,-0.0073
SmellyCode_up,RF,0.2,13,0.0083,-0.006
SmellyCode_up,RF,0.2,99,-0.0004,-0.0079
SmellyCode_up,RF,0.33,42,0.0039,-0.0042
SmellyCode_up,RF,0.33,1,-0.002,-0.0013
SmellyCode_up,RF,0.33,7,-0.0008,-0.0072
SmellyCode_up,RF,0.33,13,-0.0047,-0.0069
SmellyCode_up,RF,0.33,99,-0.0046,-0.0061
SmellyCode_up,LogReg,0.05,42,0.0469,0.0449
SmellyCode_up,LogReg,0.05,1,0.038,0.0393
SmellyCode_up,LogReg,0.05,7,0.0435,0.0474
SmellyCode_up,LogReg,0.05,13,0.0515,0.0507
SmellyCode_up,LogReg,0.05,99,0.0413,0.0426
SmellyCode_up,LogReg,0.1,42,0.0727,0.0754
SmellyCode_up,LogReg,0.1,1,0.0528,0.0513
SmellyCode_up,LogReg,0.1,7,0.0697,0.0639
SmellyCode_up,LogReg,0.1,13,0.0726,0.0655
SmellyCode_up,LogReg,0.1,99,0.0584,0.0555
SmellyCode_up,LogReg,0.2,42,0.1047,0.1027
SmellyCode_up,LogReg,0.2,1,0.0742,0.0693
SmellyCode_up,LogReg,0.2,7,0.0989,0.0808
SmellyCode_up,LogReg,0.2,13,0.1057,0.1071
SmellyCode_up,LogReg,0.2,99,0.0713,0.0679
SmellyCode_up,LogReg,0.33,42,0.1347,0.122
SmellyCode_up,LogReg,0.33,1,0.0938,0.0727
SmellyCode_up,LogReg,0.33,7,0.1052,0.076
SmellyCode_up,LogReg,0.33,13,0.1186,0.1014
SmellyCode_up,LogReg,0.33,99,0.0968,0.0759
