dataset,classifier,rate,seed,gap_intercept
IST2021,LogReg,0.05,42,0.1938
IST2021,LogReg,0.05,1,0.2575
IST2021,LogReg,0.05,7,0.2099
IST2021,LogReg,0.05,13,0.2556
IST2021,LogReg,0.05,99,0.1569
IST2021,LogReg,0.1,42,0.2157
SmellyCode++,RF,0.1,13,-0.0187
IST2021,LogReg,0.1,1,0.2098
IST2021,LogReg,0.1,7,0.2447
IST2021,LogReg,0.1,13,0.2285
IST2021,LogReg,0.1,99,0.2205
IST2021,LogReg,0.2,42,0.1811
SmellyCode++,RF,0.1,99,-0.0302
IST2021,LogReg,0.2,1,0.1753
IST2021,LogReg,0.2,7,0.1728
SmellyCode++,RF,0.2,42,-0.0133
IST2021,LogReg,0.2,13,0.1896
IST2021,LogReg,0.2,99,0.1877
IST2021,LogReg,0.33,42,0.1779
SmellyCode++,RF,0.2,1,-0.0294
IST2021,LogReg,0.33,1,0.1673
IST2021,LogReg,0.33,7,0.1694
IST2021,LogReg,0.33,13,0.1733
SmellyCode++,RF,0.2,7,-0.0108
IST2021,LogReg,0.33,99,0.1684
SmellyCode++,RF,0.2,13,-0.0211
IST2021,RF,0.05,42,0.1674
SmellyCode++,RF,0.2,99,-0.0273
IST2021,RF,0.05,1,0.1961
IST2021,RF,0.05,7,0.1155
SmellyCode++,RF,0.33,42,-0.0076
IST2021,RF,0.05,13,0.104
SmellyCode++,RF,0.33,1,-0.0116
IST2021,RF,0.05,99,0.0642
SmellyCode++,RF,0.33,7,-0.0199
IST2021,RF,0.1,42,0.0605
SmellyCode++,RF,0.33,13,-0.0116
IST2021,RF,0.1,1,0.0753
SmellyCode++,RF,0.33,99,-0.0226
IST2021,RF,0.1,7,0.0723
ml-Codesmell,LogReg,0.05,42,0.4826
ml-Codesmell,LogReg,0.05,1,0.4693
IST2021,RF,0.1,13,0.0407
ml-Codesmell,LogReg,0.05,7,0.4386
ml-Codesmell,LogReg,0.05,13,0.4586
IST2021,RF,0.1,99,0.0684
ml-Codesmell,LogReg,0.05,99,0.4518
IST2021,RF,0.2,42,0.0178
ml-Codesmell,LogReg,0.1,42,0.3301
ml-Codesmell,LogReg,0.1,1,0.3215
IST2021,RF,0.2,1,0.0381
ml-Codesmell,LogReg,0.1,7,0.3238
ml-Codesmell,LogReg,0.1,13,0.2972
ml-Codesmell,LogReg,0.1,99,0.3408
IST2021,RF,0.2,7,0.0766
ml-Codesmell,LogReg,0.2,42,0.1754
ml-Codesmell,LogReg,0.2,1,0.2088
IST2021,RF,0.2,13,0.0524
ml-Codesmell,LogReg,0.2,7,0.1903
ml-Codesmell,LogReg,0.2,13,0.167
ml-Codesmell,LogReg,0.2,99,0.1754
IST2021,RF,0.2,99,0.0324
ml-Codesmell,LogReg,0.33,42,0.1067
ml-Codesmell,LogReg,0.33,1,0.1002
ml-Codesmell,LogReg,0.33,7,0.1006
IST2021,RF,0.33,42,0.0432
ml-Codesmell,LogReg,0.33,13,0.1114
ml-Codesmell,LogReg,0.33,99,0.0885
IST2021,RF,0.33,1,0.035
ml-Codesmell,RF,0.05,42,0.0047
IST2021,RF,0.33,7,0.0557
ml-Codesmell,RF,0.05,1,0.0045
IST2021,RF,0.33,13,0.0234
ml-Codesmell,RF,0.05,7,0.001
IST2021,RF,0.33,99,0.0374
ml-Codesmell,RF,0.05,13,0.0014
ml-Codesmell,RF,0.05,99,0.0012
ml-Codesmell,RF,0.1,42,0.0017
ml-Codesmell,RF,0.1,1,0.0001
ml-Codesmell,RF,0.1,7,0.002
ImprovMLCQ,LogReg,0.05,42,0.055
ml-Codesmell,RF,0.1,13,0.0026
ml-Codesmell,RF,0.1,99,0.004
ml-Codesmell,RF,0.2,42,0.0002
ml-Codesmell,RF,0.2,1,0.0005
ml-Codesmell,RF,0.2,7,0.0004
ImprovMLCQ,LogReg,0.05,1,0.0573
ml-Codesmell,RF,0.2,13,0.0007
ml-Codesmell,RF,0.2,99,0.0005
ml-Codesmell,RF,0.33,42,0.0025
ImprovMLCQ,LogReg,0.05,7,0.0578
ml-Codesmell,RF,0.33,1,0.0003
ml-Codesmell,RF,0.33,7,0.0006
ml-Codesmell,RF,0.33,13,0.0001
ml-Codesmell,RF,0.33,99,0.0018
ImprovMLCQ,LogReg,0.05,13,0.0564
digits,LogReg,0.05,42,0.896
digits,LogReg,0.05,1,0.8911
digits,LogReg,0.05,7,0.8933
ImprovMLCQ,LogReg,0.05,99,0.054
digits,LogReg,0.05,13,0.8893
digits,LogReg,0.05,99,0.8958
digits,LogReg,0.1,42,0.8862
ImprovMLCQ,LogReg,0.1,42,0.0738
digits,LogReg,0.1,1,0.8843
digits,LogReg,0.1,7,0.8858
ImprovMLCQ,LogReg,0.1,1,0.0752
digits,LogReg,0.1,13,0.8867
digits,LogReg,0.1,99,0.8827
digits,LogReg,0.2,42,0.7947
ImprovMLCQ,LogReg,0.1,7,0.0737
digits,LogReg,0.2,1,0.7944
digits,LogReg,0.2,7,0.7977
digits,LogReg,0.2,13,0.8014
ImprovMLCQ,LogReg,0.1,13,0.0709
digits,LogReg,0.2,99,0.794
digits,LogReg,0.33,42,0.6674
digits,LogReg,0.33,1,0.6823
digits,LogReg,0.33,7,0.6655
ImprovMLCQ,LogReg,0.1,99,0.0744
digits,LogReg,0.33,13,0.6697
digits,LogReg,0.33,99,0.665
ImprovMLCQ,LogReg,0.2,42,0.1014
digits,RF,0.05,42,0.1285
