dataset,classifier,seed,dF1@0.5,dF1@best,dPR-AUC_int,dPR-AUC_itr
IST2021,LogReg,42,0.1584,0.1208,0.1782,0.0051
IST2021,LogReg,1,0.1671,0.1157,0.1711,0.0049
IST2021,LogReg,7,0.1514,0.1096,0.1563,-0.0022
IST2021,LogReg,13,0.1713,0.1188,0.165,-0.0099
IST2021,LogReg,99,0.1524,0.109,0.1596,-0.0022
IST2021,LinearSVC,42,0.1745,0.1208,0.1801,0.0038
IST2021,LinearSVC,1,0.1724,0.1176,0.1754,0.0074
IST2021,LinearSVC,7,0.1578,0.1091,0.1596,-0.0063
IST2021,LinearSVC,13,0.1781,0.1269,0.1755,0.0043
IST2021,LinearSVC,99,0.1544,0.1143,0.1614,-0.0019
IST2021,RF,42,0.0597,0.0369,0.0374,0.0128
IST2021,RF,1,0.0638,0.0404,0.0425,0.0124
IST2021,RF,7,0.0657,0.0294,0.0263,-0.0042
IST2021,RF,13,0.0651,0.0344,0.0514,0.0171
IST2021,RF,99,0.0598,0.0282,0.0203,-0.0099
IST2021,HistGB,42,0.0052,0.0164,0.0103,0.0004
IST2021,HistGB,1,0.0281,0.0164,0.0124,0.001
IST2021,HistGB,7,-0.0032,0.0007,-0.0051,-0.0153
IST2021,HistGB,13,0.0235,0.0216,0.0276,0.0073
IST2021,HistGB,99,0.0054,0.0023,-0.0058,-0.015
ImprovMLCQ,LogReg,42,0.1454,0.0898,0.0656,0.0005
ImprovMLCQ,LogReg,1,0.1451,0.0884,0.0648,-0.0011
ImprovMLCQ,LogReg,7,0.1451,0.094,0.0655,0.0008
ImprovMLCQ,LogReg,13,0.1455,0.0906,0.0649,-0.0006
ImprovMLCQ,LogReg,99,0.1432,0.0889,0.0631,-0.0008
ImprovMLCQ,LinearSVC,42,0.1441,0.0916,0.0673,0.0008
ImprovMLCQ,LinearSVC,1,0.1438,0.0909,0.066,-0.0008
ImprovMLCQ,LinearSVC,7,0.1439,0.0936,0.0661,-0.0001
ImprovMLCQ,LinearSVC,13,0.1433,0.0906,0.0653,-0.0008
ImprovMLCQ,LinearSVC,99,0.1429,0.0915,0.0636,-0.0016
